timestamp,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-ylint-prod-01"", mode=~""idle""}[1m])) by (mode, hostname)","node_load1{hostname=~""bj3-rd-ylint-prod-01""}","node_load5{hostname=~""bj3-rd-ylint-prod-01""}","node_load15{hostname=~""bj3-rd-ylint-prod-01""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-ylint-prod-01""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-ylint-prod-01""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_writes_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_written_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_tw{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_sockstat_TCP_alloc{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_inuse{hostname=~""bj3-rd-ylint-prod-01""}","probe_duration_seconds{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_network_receive_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
1694612412,0.12975000018874794,0.23,0.22,0.3,29.706850534676356,0.6236681808956761,0.45641629537997186,0.26666666666666666,3.4,0.00026666666575086615,0.0027333333312223357,1092.2666666666667,21572.266666666666,271,109,1.7333333333333334,3.3333333333333335,320,254,0.000361753,10345310.933333334,1914922.1333333333
1694612532,0.16166666646798444,0.59,0.41,0.36,28.215196737859227,0.6236709996633031,0.4564685136575969,0,1.3333333333333333,0,0.0008666666612649958,0,24849.066666666666,275,210,6.133333333333334,3.3333333333333335,324,256,0.000310878,7133157.333333333,480891.73333333334
1694612652,0.056666666766007734,0.33,0.36,0.35,27.748660624508226,0.6232655831194309,0.4564996516107209,0,0.8,0,0.0002666666715716322,0,9557.333333333334,273,168,1.6,3.4,322,255,0.000385795,12588512,518431.4666666667
1694612772,0.0335833334674438,0.55,0.4,0.36,26.903497117218787,0.6232678186937559,0.4564534000842577,0.13333333333333333,3.7333333333333334,0.0000666666659526527,0.003133333334699273,546.1333333333333,27033.6,273,172,2,2.8,322,255,0.000369866,12974626.133333333,645111.4666666667
1694612892,0.05375000002483532,0.39,0.37,0.35,28.432515780615763,0.6232701514669644,0.4565521411923935,0,0.9333333333333333,0,0.0004666666655490796,0,12834.133333333333,271,162,1.6666666666666667,3.2666666666666666,320,254,0.000351201,11669712.533333333,489452.26666666666
1694613012,0.1155833333730697,0.41,0.35,0.34,27.205979257251855,0.6232727758368241,0.4566910197964905,0,1.1333333333333333,0,0.0006666666672875484,0,14745.6,273,97,1.5333333333333334,3.1333333333333333,322,255,0.000363475,9053189.333333334,417609.06666666665
1694613132,0.022666666656732448,0.4,0.4,0.36,27.948212441353515,0.6232754002066837,0.45660227624250993,0,3.066666666666667,0,0.002200000003601114,0,36044.8,277,105,1.6,3.1333333333333333,326,258,0.000373589,13178896,503443.2
1694613252,0.021499999985098883,0.17,0.32,0.33,26.745117429648623,0.6233451890051733,0.45671897767859904,0.06666666666666667,1,0.0000666666659526527,0.0012000000026697914,273.06666666666666,13653.333333333334,271,103,1.7333333333333334,3.2666666666666666,320,255,0.000383874,14279082.666666666,550596.2666666667
1694613372,0.020500000193715007,0.08,0.24,0.3,26.82261719047443,0.6233474245794982,0.45681390115120746,0.13333333333333333,2.8666666666666667,0.0000666666659526527,0.0013333333345750967,546.1333333333333,30856.533333333333,272,107,1.4666666666666666,3.1333333333333333,321,255,0.000355148,12387404.266666668,484883.2
1694613492,0.06749999970197673,0.17,0.2,0.28,28.548734914941843,0.6233499517504741,0.45690126493031713,0,1.0666666666666667,0,0.000599999997454385,0,15018.666666666666,271,177,5.6,3.3333333333333335,320,255,0.000317469,15089083.2,572972.2666666667
